2026-03-16 10:06:26 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-03-16 10:06:27 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-03-16 10:06:27 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-03-16 10:06:28 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-03-16 10:06:32 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: lil_chinch
2026-03-16 10:06:34 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-03-16 10:06:34 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: lil_chinch
2026-03-16 10:06:35 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Влад Тамашевич (ID: 551667191)
2026-03-16 10:07:07 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-03-16 10:07:09 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-03-16 10:07:09 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-03-16 10:07:10 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-04-25 00:13:23 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-04-25 00:13:24 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:13:24 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-04-25 00:13:25 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-04-25 00:13:28 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: lil_chinch
2026-04-25 00:13:29 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:13:29 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: lil_chinch
2026-04-25 00:13:30 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Влад Тамашевич (ID: 551667191)
2026-04-25 00:19:13 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-04-25 00:19:13 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:19:13 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-04-25 00:19:14 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-04-25 00:19:16 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: lil_chinch
2026-04-25 00:19:16 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:19:16 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: lil_chinch
2026-04-25 00:19:17 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Влад Тамашевич (ID: 551667191)
2026-04-25 00:19:52 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-04-25 00:19:52 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:19:52 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-04-25 00:19:53 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-04-25 00:19:54 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: 143046507
2026-04-25 00:19:55 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Александр Лазовский (ID: 143046507)
2026-04-25 00:41:02 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-04-25 00:41:09 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:41:09 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-04-25 00:41:13 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-04-25 00:41:25 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: lil_chinch
2026-04-25 00:41:30 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:41:30 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: lil_chinch
2026-04-25 00:41:37 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Влад Тамашевич (ID: 551667191)
2026-04-25 00:43:27 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-04-25 00:43:39 | ERROR    | src.vk_api.vk_api_client | Превышен таймаут при запросе к utils.resolveScreenName
2026-04-25 00:43:39 | INFO     | src.vk_api.vk_api_client | Повторная попытка 1/3
2026-04-25 00:43:46 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:43:46 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-04-25 00:43:53 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-04-25 00:44:19 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: lil_chinch
2026-04-25 00:44:26 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:44:26 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: lil_chinch
2026-04-25 00:44:31 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Влад Тамашевич (ID: 551667191)
2026-04-25 00:50:19 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-04-25 00:50:29 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:50:29 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-04-25 00:50:33 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-04-25 00:50:49 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: lil_chinch
2026-04-25 00:50:54 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:50:54 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: lil_chinch
2026-04-25 00:50:58 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Влад Тамашевич (ID: 551667191)
2026-04-25 00:56:47 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-04-25 00:56:49 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:56:49 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-04-25 00:56:50 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
2026-04-25 00:56:55 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: lil_chinch
2026-04-25 00:56:57 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 00:56:57 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: lil_chinch
2026-04-25 00:56:58 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Влад Тамашевич (ID: 551667191)
2026-04-25 09:09:54 | INFO     | src.vk_api.vk_api_client | Поиск пользователя: naruto000uzumaki
2026-04-25 09:09:55 | WARNING  | src.vk_api.vk_api_client | API error 100: One of the parameters specified was missing or invalid: screen_name is undefined
2026-04-25 09:09:55 | WARNING  | src.vk_api.vk_api_client | Не удалось разрешить screen_name: naruto000uzumaki
2026-04-25 09:09:55 | INFO     | src.vk_api.vk_api_client | Пользователь найден: Котик Александр (ID: 372017665)
